,PID,Name,Runs,Avg,SR,features,prediction
0,290629,P Amarnath,1,1,33.33,"[1.0,1.0,33.33]",0
1,26798,S Anirudha,1254,26.12,124.52,"[1254.0,26.12,124.52]",5
2,319745,KB Arun Karthik,831,20.77,124.21,"[831.0,20.77,124.21]",5
3,26421,R Ashwin,587,13.97,114.64,"[587.0,13.97,114.64]",0
4,1083030,KM Asif,0,0,0,"(3,[],[])",0
5,51433,S Badree,183,9.15,81.33,"[183.0,9.15,81.33]",0
6,26806,S Badrinath,2300,28.75,112.74,"[2300.0,28.75,112.74]",2
7,4451,GJ Bailey,3591,28.27,129.21,"[3591.0,28.27,129.21]",3
8,26829,L Balaji,54,4.9,87.09,"[54.0,4.9,87.09]",0
9,297628,SW Billings,2925,23.21,130.17,"[2925.0,23.21,130.17]",2
10,4508,DE Bollinger,69,6.27,95.83,"[69.0,6.27,95.83]",0
11,51439,DJ Bravo,5984,24.72,127.18,"[5984.0,24.72,127.18]",4
12,447261,DL Chahar,148,11.38,142.3,"[148.0,11.38,142.3]",0
13,28081,MS Dhoni,6075,38.44,136.18,"[6075.0,38.44,136.18]",4
14,44828,F du Plessis,4063,27.45,124.67,"[4063.0,27.45,124.67]",3
15,37000,SP Fleming,1157,23.14,121.91,"[1157.0,23.14,121.91]",5
16,12856,A Flintoff,683,22.76,142.88,"[683.0,22.76,142.88]",0
17,28764,C Ganapathy,37,4.11,94.87,"[37.0,4.11,94.87]",0
18,317293,MS Gony,466,14.12,153.79,"[466.0,14.12,153.79]",0
19,29264,Harbhajan Singh,1501,15.01,130.06,"[1501.0,15.01,130.06]",5
20,228622,JW Hastings,877,16.86,154.4,"[877.0,16.86,154.4]",5
21,5616,ML Hayden,1632,36.26,136.91,"[1632.0,36.26,136.91]",5
22,5941,BW Hilfenhaus,205,9.31,97.61,"[205.0,9.31,97.61]",0
23,391485,JO Holder,638,14.83,128.11,"[638.0,14.83,128.11]",0
24,5766,DJ Hussey,6097,30.03,133.2,"[6097.0,30.03,133.2]",4
25,5939,MEK Hussey,4569,37.45,124.9,"[4569.0,37.45,124.9]",3
26,40618,Imran Tahir,186,9.78,110.05,"[186.0,9.78,110.05]",0
27,234675,RA Jadeja,2147,21.68,122.96,"[2147.0,21.68,122.96]",2
28,290716,KM Jadhav,1664,23.77,136.28,"[1664.0,23.77,136.28]",5
29,29655,SB Jakati,185,10.27,103.35,"[185.0,10.27,103.35]",0
30,29976,Joginder Sharma,425,15.17,126.11,"[425.0,15.17,126.11]",0
31,50438,S Randiv,354,17.7,138.82,"[354.0,17.7,138.82]",0
32,209457,CK Kapugedera,1995,21,129.88,"[1995.0,21.0,129.88]",2
33,45797,JM Kemp,1451,28.45,124.44,"[1451.0,28.45,124.44]",5
34,49535,KMDN Kulasekara,395,10.67,120.06,"[395.0,10.67,120.06]",0
35,315623,B Laughlin,107,5.09,89.91,"[107.0,5.09,89.91]",0
36,37737,BB McCullum,9620,30.25,137.21,"[9620.0,30.25,137.21]",1
37,31732,VY Mahesh,96,9.6,105.49,"[96.0,9.6,105.49]",0
38,31001,M Manhas,1170,21.66,104.55,"[1170.0,21.66,104.55]",5
39,424219,RG More,10,5,62.5,"[10.0,5.0,62.5]",0
40,46248,JA Morkel,4069,26.25,138.02,"[4069.0,26.25,138.02]",3
41,439952,CH Morris,1247,25.44,154.71,"[1247.0,25.44,154.71]",5
42,302582,A Mukund,728,26.96,110.3,"[728.0,26.96,110.3]",5
43,49636,M Muralitharan,81,3.37,73.63,"[81.0,3.37,73.63]",0
44,6981,DP Nannes,66,8.25,83.54,"[66.0,8.25,83.54]",0
45,530773,P Negi,737,16.75,124.49,"[737.0,16.75,124.49]",5
46,31820,A Nehra,69,5.3,67.64,"[69.0,5.3,67.64]",0
47,542023,L Ngidi,8,8,80,"[8.0,8.0,80.0]",0
48,46592,M Ntini,30,5,69.76,"[30.0,5.0,69.76]",0
49,38062,JDP Oram,1111,16.58,126.1,"[1111.0,16.58,126.1]",5
50,447439,IC Pandey,69,6.27,123.21,"[69.0,6.27,123.21]",0
51,32242,PA Patel,3820,22.87,122.43,"[3820.0,22.87,122.43]",3
52,233514,NLTC Perera,2917,19.84,145.41,"[2917.0,19.84,145.41]",2
53,33335,SK Raina,7929,33.59,139.25,"[7929.0,33.59,139.25]",1
54,591650,AS Rajpoot,29,4.83,67.44,"[29.0,4.83,67.44]",0
55,33141,AT Rayudu,4235,26.46,125.96,"[4235.0,26.46,125.96]",3
