,PID,Name,Wickets,Econ,Avg,SR,features,prediction
0,290629,P Amarnath,19,9.2,25.68,16.7,"[19.0,9.2,25.68,16.7]",3
1,26798,S Anirudha,0,0,0,0,"(4,[],[])",2
2,319745,KB Arun Karthik,2,11,22,12,"[2.0,11.0,22.0,12.0]",3
3,26421,R Ashwin,210,6.84,24.34,21.3,"[210.0,6.84,24.34,21.3]",5
4,1083030,KM Asif,8,9.57,16.75,10.5,"[8.0,9.57,16.75,10.5]",3
5,51433,S Badree,187,6.02,22.16,22,"[187.0,6.02,22.16,22.0]",5
6,26806,S Badrinath,1,7.33,22,18,"[1.0,7.33,22.0,18.0]",3
7,4451,GJ Bailey,0,12,0,0,"(4,[1],[12.0])",2
8,26829,L Balaji,126,7.76,22.19,17.1,"[126.0,7.76,22.19,17.1]",6
9,297628,SW Billings,0,0,0,0,"(4,[],[])",2
10,4508,DE Bollinger,139,7.82,25.47,19.5,"[139.0,7.82,25.47,19.5]",6
11,51439,DJ Bravo,447,8.29,24.53,17.7,"[447.0,8.29,24.53,17.7]",1
12,447261,DL Chahar,40,7.51,24.22,19.3,"[40.0,7.51,24.22,19.3]",3
13,28081,MS Dhoni,0,12.5,0,0,"(4,[1],[12.5])",2
14,44828,F du Plessis,50,6.96,18.34,15.8,"[50.0,6.96,18.34,15.8]",0
15,37000,SP Fleming,0,0,0,0,"(4,[],[])",2
16,12856,A Flintoff,39,7.55,21.2,16.8,"[39.0,7.55,21.2,16.8]",3
17,28764,C Ganapathy,33,6.42,16.09,15,"[33.0,6.42,16.09,15.0]",3
18,317293,MS Gony,91,7.69,24.87,19.4,"[91.0,7.69,24.87,19.4]",0
19,29264,Harbhajan Singh,219,6.72,26.22,23.3,"[219.0,6.72,26.22,23.3]",5
20,228622,JW Hastings,116,7.95,24.7,18.6,"[116.0,7.95,24.7,18.6]",6
21,5616,ML Hayden,0,0,0,0,"(4,[],[])",2
22,5941,BW Hilfenhaus,117,7.6,22.2,17.5,"[117.0,7.6,22.2,17.5]",6
