PID,Name,Matches,Inn,NO,Runs,Best,Avg,BF,SR,100,50,4s,6s
290629,P Amarnath,14,4,3,1,1,1,3,33.33,0,0,0,0
26798,S Anirudha,70,60,12,1254,77,26.12,1007,124.52,0,7,119,47
319745,KB Arun Karthik,63,53,13,831,76,20.77,669,124.21,0,3,74,27
26421,R Ashwin,210,72,30,587,46,13.97,512,114.64,0,0,53,14
1083030,KM Asif,4,1,1,0,0,0,0,0,0,0,0,0
51433,S Badree,197,59,39,183,29,9.15,225,81.33,0,0,7,5
26806,S Badrinath,142,110,30,2300,71,28.75,2040,112.74,0,13,217,42
4451,GJ Bailey,184,167,40,3591,89,28.27,2779,129.21,0,20,307,102
26829,L Balaji,104,20,9,54,15,4.9,62,87.09,0,0,4,2
297628,SW Billings,156,146,20,2925,95,23.21,2247,130.17,0,16,248,87
4508,DE Bollinger,129,20,9,69,17,6.27,72,95.83,0,0,5,2
51439,DJ Bravo,410,336,94,5984,70,24.72,4705,127.18,0,20,391,285
447261,DL Chahar,38,21,8,148,39,11.38,104,142.3,0,0,8,10
28081,MS Dhoni,297,266,108,6075,79,38.44,4461,136.18,0,24,420,267
44828,F du Plessis,180,165,17,4063,119,27.45,3259,124.67,1,21,359,115
37000,SP Fleming,53,53,3,1157,64,23.14,949,121.91,0,6,156,22
12856,A Flintoff,39,36,6,683,93,22.76,478,142.88,0,3,63,31
28764,C Ganapathy,25,11,2,37,15,4.11,39,94.87,0,0,1,2
317293,MS Gony,85,48,15,466,42,14.12,303,153.79,0,0,31,29
29264,Harbhajan Singh,251,149,49,1501,78,15.01,1154,130.06,0,2,141,73
228622,JW Hastings,106,74,22,877,80,16.86,568,154.4,0,3,62,52
5616,ML Hayden,50,50,5,1632,93,36.26,1192,136.91,0,13,181,63
5941,BW Hilfenhaus,96,41,19,205,38,9.31,210,97.61,0,0,10,8
391485,JO Holder,84,59,16,638,54,14.83,498,128.11,0,1,47,32
5766,DJ Hussey,267,251,48,6097,100,30.03,4577,133.2,1,31,424,239
5939,MEK Hussey,161,149,27,4569,116,37.45,3658,124.9,1,35,423,121
40618,Imran Tahir,224,40,21,186,23,9.78,169,110.05,0,0,15,7
234675,RA Jadeja,212,150,51,2147,48,21.68,1746,122.96,0,0,151,73
290716,KM Jadhav,105,94,24,1664,69,23.77,1221,136.28,0,8,144,59
29655,SB Jakati,91,28,10,185,43,10.27,179,103.35,0,0,18,3
29976,Joginder Sharma,63,39,11,425,75,15.17,337,126.11,0,1,34,20
50438,S Randiv,62,30,10,354,55,17.7,255,138.82,0,1,34,9
209457,CK Kapugedera,119,107,12,1995,96,21,1536,129.88,0,7,146,87
45797,JM Kemp,101,80,29,1451,89,28.45,1166,124.44,0,4,92,71
49535,KMDN Kulasekara,112,56,19,395,31,10.67,329,120.06,0,0,24,16
315623,B Laughlin,124,34,13,107,22,5.09,119,89.91,0,0,5,4
37737,BB McCullum,356,351,33,9620,158,30.25,7011,137.21,7,51,902,473
31732,VY Mahesh,46,19,9,96,17,9.6,91,105.49,0,0,8,3
31001,M Manhas,91,72,18,1170,52,21.66,1119,104.55,0,1,102,21
424219,RG More,11,4,2,10,4,5,16,62.5,0,0,1,0
46248,JA Morkel,309,245,90,4069,73,26.25,2948,138.02,0,11,255,236
439952,CH Morris,149,92,43,1247,82,25.44,806,154.71,0,2,0,0
302582,A Mukund,35,33,6,728,68,26.96,660,110.3,0,3,67,7
49636,M Muralitharan,164,38,14,81,11,3.37,110,73.63,0,0,3,2
6981,DP Nannes,215,39,31,66,12,8.25,79,83.54,0,0,3,1
530773,P Negi,94,71,27,737,41,16.75,592,124.49,0,0,53,31
31820,A Nehra,132,28,15,69,22,5.3,102,67.64,0,0,4,3
542023,L Ngidi,49,4,3,8,4,8,10,80,0,0,0,0
46592,M Ntini,60,12,6,30,11,5,43,69.76,0,0,5,0
38062,JDP Oram,105,85,18,1111,66,16.58,881,126.1,0,4,80,55
447439,IC Pandey,55,15,4,69,19,6.27,56,123.21,0,0,7,2
32242,PA Patel,182,179,12,3820,82,22.87,3120,122.43,0,21,493,67
233514,NLTC Perera,242,204,57,2917,84,19.84,2006,145.41,0,6,206,157
33335,SK Raina,296,280,44,7929,126,33.59,5694,139.25,4,47,709,299
591650,AS Rajpoot,54,11,5,29,8,4.83,43,67.44,0,0,4,0
33141,AT Rayudu,195,184,24,4235,100,26.46,3362,125.96,1,23,360,148
279810,WP Saha,175,148,31,2840,115,24.27,2181,130.21,1,14,251,100
477021,V Shankar,59,45,15,818,69,27.26,648,126.23,0,4,55,29
30288,KV Sharma,119,82,24,1138,67,19.62,925,123.02,0,2,79,48
