PID,Name,Matches,Inn,Balls,Runs,Wickets,BBI,BBM,Avg,Econ,SR,4W,5W
290629,P Amarnath,14,14,318,488,19,Feb-25,Feb-25,25.68,9.2,16.7,0,0
26798,S Anirudha,70,0,0,0,0,0,0,0,0,0,0,0
319745,KB Arun Karthik,63,2,24,44,2,Jan-13,Jan-13,22,11,12,0,0
26421,R Ashwin,210,207,4478,5112,210,04-Aug,04-Aug,24.34,6.84,21.3,4,0
1083030,KM Asif,4,4,84,134,8,Mar-25,Mar-25,16.75,9.57,10.5,0,0
51433,S Badree,197,194,4125,4144,187,May-22,May-22,22.16,6.02,22,2,1
26806,S Badrinath,142,2,18,22,1,Jan-16,Jan-16,22,7.33,18,0,0
4451,GJ Bailey,184,1,12,24,0,0,0,0,12,0,0,0
26829,L Balaji,104,104,2161,2797,126,May-24,May-24,22.19,7.76,17.1,5,1
297628,SW Billings,156,0,0,0,0,0,0,0,0,0,0,0
4508,DE Bollinger,129,128,2716,3541,139,Apr-13,Apr-13,25.47,7.82,19.5,1,0
51439,DJ Bravo,410,393,7930,10965,447,May-23,May-23,24.53,8.29,17.7,9,2
447261,DL Chahar,38,38,774,969,40,May-15,May-15,24.22,7.51,19.3,0,1
28081,MS Dhoni,297,1,12,25,0,0,0,0,12.5,0,0,0
44828,F du Plessis,180,52,790,917,50,May-19,May-19,18.34,6.96,15.8,1,2
37000,SP Fleming,53,0,0,0,0,0,0,0,0,0,0,0
12856,A Flintoff,39,34,657,827,39,04-Dec,04-Dec,21.2,7.55,16.8,1,0
28764,C Ganapathy,25,24,496,531,33,04-Dec,04-Dec,16.09,6.42,15,1,0
317293,MS Gony,85,84,1766,2264,91,Apr-16,Apr-16,24.87,7.69,19.4,2,0
29264,Harbhajan Singh,251,239,5123,5744,219,May-18,May-18,26.22,6.72,23.3,3,1
228622,JW Hastings,106,104,2163,2866,116,Apr-26,Apr-26,24.7,7.95,18.6,2,0
5616,ML Hayden,50,0,0,0,0,0,0,0,0,0,0,0
5941,BW Hilfenhaus,96,96,2050,2598,117,May-23,May-23,22.2,7.6,17.5,1,1
391485,JO Holder,84,83,1647,2131,61,Apr-27,Apr-27,34.93,7.76,27,1,0
5766,DJ Hussey,267,110,1438,1792,68,Mar-25,Mar-25,26.35,7.47,21.1,0,0
5939,MEK Hussey,161,1,6,5,0,0,0,0,5,0,0,0
40618,Imran Tahir,224,213,4785,5649,272,May-23,May-23,20.76,7.08,17.5,7,2
234675,RA Jadeja,212,184,3272,4243,135,May-16,May-16,31.42,7.78,24.2,3,1
290716,KM Jadhav,105,4,60,88,4,Feb-23,Feb-23,22,8.8,15,0,0
29655,SB Jakati,91,89,1781,2280,73,May-17,May-17,31.23,7.68,24.3,2,1
29976,Joginder Sharma,63,62,1230,1448,61,Apr-14,Apr-14,23.73,7.06,20.1,1,0
